DRUG_ID,DRUG_NAME,DRUG_SYNONYMS,DrugBank_ID,PubChem_ID,MESH_ID,KEGG_ID,TTD_ID
BADD_D00472,Ciprofloxacin hydrochloride,"Ciprofloxacin | Ciprofloxacin Hydrochloride Anhydrous | Anhydrous, Ciprofloxacin Hydrochloride | Hydrochloride Anhydrous, Ciprofloxacin | Cipro | Ciprofloxacin Hydrochloride | Hydrochloride, Ciprofloxacin | Ciprofloxacin Monohydrochloride Monohydrate | Monohydrate, Ciprofloxacin Monohydrochloride | Monohydrochloride Monohydrate, Ciprofloxacin | Bay-09867 | Bay 09867 | Bay09867 | Ciprinol",DB00537,62999,D002939,D02216,D0O1WX
BADD_D00473,Cisatracurium besylate,cisatracurium | cisatracurium besylate | cisatracurium besilate | Nimbex | 51W89,DB00565,62886,C101584,D00759,D08ALK
BADD_D00474,Cisplatin,"Cisplatin | cis-Diamminedichloroplatinum(II) | Platinum Diamminodichloride | Diamminodichloride, Platinum | cis-Platinum | cis Platinum | Dichlorodiammineplatinum | cis-Diamminedichloroplatinum | cis Diamminedichloroplatinum | cis-Dichlorodiammineplatinum(II) | NSC-119875 | Platino | Platinol | Biocisplatinum | Platidiam",DB00515,5702198,D002945,D00275,D0U5HU
BADD_D00475,Citalopram,Citalopram | Cytalopram | Citalopram Hydrobromide | Lu-10-171 | Lu10171 | Seropram | Celexa,DB00215,2771,D015283,D07704,D0Y5DO
BADD_D00476,Citalopram hydrobromide,Citalopram | Cytalopram | Citalopram Hydrobromide | Lu-10-171 | Lu10171 | Seropram | Celexa,DB00215,77995,D015283,D00822,D0Y5DO
BADD_D00477,Citric acid,"Citric Acid | Citric Acid Monohydrate | Uralyt U | Citrate | Citric Acid, Anhydrous | Anhydrous Citric Acid",DB04272,311,D019343,D01222,D02RTS
BADD_D00478,Citroma magnesium citrate,magnesium citrate | Mg citrate,DB11110,Not Available,C110422,D03265,Not Available
BADD_D00479,Cladribine,Cladribine | 2-Chlorodeoxyadenosine | 2-Chloro-2'-deoxyadenosine | 2'-Deoxy-2-chloroadenosine | Leustatin,DB00242,20279,D017338,D01370,D05GJW
BADD_D00480,Clarithromycin,Clarithromycin | 6-O-Methylerythromycin | TE-031 | TE 031 | TE031 | A-56268 | A 56268 | A56268 | Biaxin,DB01211,84029,D017291,D00276,D0Z1ZM
BADD_D00481,Clemastine fumarate,Clemastine | Mecloprodin | 2-(2-(1-(4-Chlorophenyl)-1-phenylethoxy)ethyl)-1-methylpyrrolidine | Meclastine | Tavist | Tavegyl | Clemastine Fumarate | HS-592 | HS 592 | HS592,DB00283,5281069,D002974,D00666,D0C5XC
BADD_D00482,Clevidipine,"clevidipine | butyroxymethyl methyl 4-(2',3'-dichlorophenyl)-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate | Cleviprex",DB04920,153994,C118563,D08892,D09ELP
BADD_D00483,Clindamycin,"Clindamycin | Chlolincocin | 7-Chloro-7-deoxylincomycin | 7 Chloro 7 deoxylincomycin | Chlorlincocin | Dalacin C | Clindamycin Monohydrochloride | Monohydrochloride, Clindamycin | Clindamycin Monohydrochloride, Monohydrate | Monohydrate Clindamycin Monohydrochloride | Monohydrochloride, Monohydrate Clindamycin | Cleocin | Clindamycin Hydrochloride | Hydrochloride, Clindamycin",DB01190,2786,D002981,D00277,D0R0ZL
BADD_D00484,Clindamycin hydrochloride,"Clindamycin | Chlolincocin | 7-Chloro-7-deoxylincomycin | 7 Chloro 7 deoxylincomycin | Chlorlincocin | Dalacin C | Clindamycin Monohydrochloride | Monohydrochloride, Clindamycin | Clindamycin Monohydrochloride, Monohydrate | Monohydrate Clindamycin Monohydrochloride | Monohydrochloride, Monohydrate Clindamycin | Cleocin | Clindamycin Hydrochloride | Hydrochloride, Clindamycin",DB01190,16051951,D002981,D02132,D0R0ZL
BADD_D00485,Clindamycin palmitate hydrochloride,clindamycin palmitate | 7-chloro-7-deoxylincomycin palmitate | Cleocin palmitate | clindamycin palmitate hydrochloride | 7-chlorolincomycin palmitate,DB01190,16052038,C000489,D01990,Not Available
BADD_D00486,Clindamycin palmitate hydrochloride (pediatric),clindamycin palmitate | 7-chloro-7-deoxylincomycin palmitate | Cleocin palmitate | clindamycin palmitate hydrochloride | 7-chlorolincomycin palmitate,DB01190,Not Available,C000489,D01990,Not Available
BADD_D00487,Clindamycin phosphate,clindamycin phosphate | clindamycin-2-phosphate | Clindesse | Clindets | Cleocin phosphate,DB01190,32603,C007084,D01073,Not Available
BADD_D00488,Clobazam,"Clobazam | Urbanyl | Onfi | 1-Phenyl-5-methyl-8-chloro-1,2,4,5- tetrahydro-2,4-diketo-3H-1,5-benzodiazepine | HR 376 | LM-2717 | LM 2717 | LM2717 | Frisium",DB00349,2789,D000078306,D01253,D0S9MC
BADD_D00489,Clobetasol,Clobetasol | Clofenazon | Clobetasol Propionate | Clobetasol 17-Propionate | Clobetasol 17 Propionate | Clobex | Cormax | OLUX | Dermovate | Embeline | Embeline E | Temovate,DB11750,5311051,D002990,D07715,D0FL5V
BADD_D00490,Clobetasol propionate,Clobetasol | Clofenazon | Clobetasol Propionate | Clobetasol 17-Propionate | Clobetasol 17 Propionate | Clobex | Cormax | OLUX | Dermovate | Embeline | Embeline E | Temovate,DB01013,32798,D002990,D01272,D0H0YD
BADD_D00491,Clobetasone butyrate,clobetasone butyrate | clobetasone 17-butyrate | 21-chloro-11-dehydro-betamethasone-17-butyrate | Eumovate | Emovate | Trimovate,DB13158,71386,C010893,D01273,Not Available
BADD_D00492,Clocortolone,clocortolone | clocortolone acetate,DB00838,5311052,C004686,D07719,D00GOS
BADD_D00493,Clocortolone pivalate,clocortolone pivalate | clocortolone trimethylacetate | Cloderm | purantix | CL 68,DB00838,5282493,C007088,D02287,Not Available
BADD_D00494,Clodronic acid,"Clodronic Acid | Acid, Clodronic | Dichloromethane Diphosphonate | Diphosphonate, Dichloromethane | Dichloromethylenebisphosphonate | Dichloromethanediphosphonic Acid | Acid, Dichloromethanediphosphonic | Dichloromethylene Biphosphonate | Biphosphonate, Dichloromethylene | Dichloromethylene Diphosphonate | Diphosphonate, Dichloromethylene | Cl2MDP | Dichloromethanediphosphonate | Clodronate | Clodronate Disodium | Disodium, Clodronate | Clodronate Sodium | Sodium, Clodronate | Bonefos",DB00720,25419,D004002,D03545,D00HNB
BADD_D00495,Clofarabine,"Clofarabine | 2-Chloro-9-(2-deoxy-2-fluoroarabinofuranosyl)adenine | Cl-F-ara-A | 2-Chloro-9-(2-deoxy-2-fluoro-beta-D-arbinofuranosyl)adenine | 2-Chloro-2'-arabino-fluoro-2'-deoxyadenosine | 2 Chloro 2' arabino fluoro 2' deoxyadenosine | 2-Chloro-2'-fluoroarabino-2'-deoxyadenosine | 2 Chloro 2' fluoroarabino 2' deoxyadenosine | 9H-Purin-6-amine, 2-chloro-9-(2-deoxy-2-fluoro-beta-D-arabinofuranosyl)- | Clolar | Evoltra | Clofarex",DB00631,119182,D000077866,D03546,D0R5RR
BADD_D00496,Clofazimine,"Clofazimine | N,5-Bis(4-chlorophenyl)-3,5-dihydro-3-((1-methylethyl)imino)-2-phenazinamine | Lamprene | B-663 | B 663 | B663 | G-30,320 | G 30,320 | G30,320",DB00845,2794,D002991,D00278,D0S5UH
BADD_D00497,Clomiphene,"Clomiphene | Clomifene | Chloramiphene | Clomifen | Clomiphene Citrate | Citrate, Clomiphene | Clomiphene Hydrochloride | Hydrochloride, Clomiphene | Serophene | Gravosan | Klostilbegit | Clostilbegit | Clomid | Clomide | Dyneric",DB00882,1548953,D002996,D07726,D0CT9Y
BADD_D00498,Clomiphene citrate,"Clomiphene | Clomifene | Chloramiphene | Clomifen | Clomiphene Citrate | Citrate, Clomiphene | Clomiphene Hydrochloride | Hydrochloride, Clomiphene | Serophene | Gravosan | Klostilbegit | Clostilbegit | Clomid | Clomide | Dyneric",DB00882,60974,D002996,D00962,D0I5WB
BADD_D00499,Clomipramine,"Clomipramine | Chlomipramine | Chlorimipramine | Hydiphen | Clomipramine Maleate (1:1) | Clomipramine Monohydrochloride | Monohydrochloride, Clomipramine | Anafranil | Clomipramine Hydrochloride | Hydrochloride, Clomipramine",DB01242,2801,D002997,D07727,D0ZS8P
BADD_D00500,Clomipramine hydrochloride,"Clomipramine | Chlomipramine | Chlorimipramine | Hydiphen | Clomipramine Maleate (1:1) | Clomipramine Monohydrochloride | Monohydrochloride, Clomipramine | Anafranil | Clomipramine Hydrochloride | Hydrochloride, Clomipramine",DB01242,68539,D002997,D00811,D0ZS8P
BADD_D00501,Clonazepam,"Clonazepam | 2H-1,4-Benzodiazepin-2-one, 5-(2-chlorophenyl)-1,3-dihydro-7-nitro- | Rivotril | Klonopin | Antelepsin | Ro 5-4023 | Ro 54023",DB01068,2802,D002998,D00280,D0CP4E
BADD_D00502,Clonidine,"Clonidine | Klofenil | Clofenil | Chlophazolin | Clonidine Dihydrochloride | Dihydrochloride, Clonidine | Clonidine Hydrochloride | Hydrochloride, Clonidine | Clonidine Monohydrochloride | Monohydrochloride, Clonidine | Clonidine Monohydrobromide | Monohydrobromide, Clonidine | ST-155 | ST 155 | ST155 | Gemiton | Hemiton | Isoglaucon | Klofelin | Clofelin | Clopheline | M-5041T | M 5041T | M5041T | Catapres | Catapresan | Catapressan | Dixarit",DB00575,2803,D003000,D00281,D03SKR
BADD_D00503,Clonidine hydrochloride,"Clonidine | Klofenil | Clofenil | Chlophazolin | Clonidine Dihydrochloride | Dihydrochloride, Clonidine | Clonidine Hydrochloride | Hydrochloride, Clonidine | Clonidine Monohydrochloride | Monohydrochloride, Clonidine | Clonidine Monohydrobromide | Monohydrobromide, Clonidine | ST-155 | ST 155 | ST155 | Gemiton | Hemiton | Isoglaucon | Klofelin | Clofelin | Clopheline | M-5041T | M 5041T | M5041T | Catapres | Catapresan | Catapressan | Dixarit",DB00575,20179,D003000,D00604,D03SKR
BADD_D00504,Clopidogrel,"Clopidogrel | SC 25989C | SC 25990C | SR 25989 | Clopidogrel-Mepha | Clopidogrel Mepha | Clopidogrel Sandoz | Iscover | Clopidogrel Napadisilate | Clopidogrel Hydrochloride | PCR 4099 | PCR-4099 | Clopidogrel Besylate | Clopidogrel Besilate | Clopidogrel, (+)(S)-isomer | Plavix | Clopidogrel Bisulfate",DB00758,60606,D000077144,D07729,D0N0TZ
BADD_D00505,Clopidogrel bisulfate,"Clopidogrel | SC 25989C | SC 25990C | SR 25989 | Clopidogrel-Mepha | Clopidogrel Mepha | Clopidogrel Sandoz | Iscover | Clopidogrel Napadisilate | Clopidogrel Hydrochloride | PCR 4099 | PCR-4099 | Clopidogrel Besylate | Clopidogrel Besilate | Clopidogrel, (+)(S)-isomer | Plavix | Clopidogrel Bisulfate",DB00758,115366,D000077144,D00769,D0N0TZ
BADD_D00506,Clorazepate dipotassium,Clorazepate Dipotassium | Dipotassium Chlorazepate | 4306-CB | Chlorazepate | Clorazepate | Tranxene | Tranxilium | Clorazepic Acid | Clorazepate Monopotassium,DB00628,167305,D003009,D00694,D0P3JU
BADD_D00507,Clorazepic acid,Clorazepate Dipotassium | Dipotassium Chlorazepate | 4306-CB | Chlorazepate | Clorazepate | Tranxene | Tranxilium | Clorazepic Acid | Clorazepate Monopotassium,DB00628,2809,D003009,D00694,D0P3JU
BADD_D00508,Clostridium tetani toxoid immune globulin (human),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BADD_D00509,Clotrimazole,Clotrimazole | Klotrimazole | Mycelex | FB b 5097 | Lotrimin | Bay b 5097 | Canesten | Kanesten,DB00257,2812,D003022,D00282,D09GOS
BADD_D00510,Cloxacillin,"Cloxacillin | Chloroxacillin | Syntarpen | Tegopen | Cloxacillin Sodium | Sodium, Cloxacillin | Sodium Cloxacillin | Cloxacillin, Sodium",DB01147,6098,D003023,D07733,D04KTZ
BADD_D00511,Clozapine,Clozapine | Clozaril | Leponex,DB00363,135398737,D003024,D00283,D0Z1RV
BADD_D00512,Cobicistat,"Cobicistat | Tybost | GS 9350 | 9350, GS | GS9350 | GS-9350",DB09065,25151504,D000069547,D09881,D02VJP
BADD_D00513,Cobimetinib,"cobimetinib | (3,4-difluoro-2-(2-fluoro-4-iodophenylamino)phenyl)(3-hydroxy-3-(piperidin-2-yl)azetidin-1-yl)methanone | Cotellic | GDC-0973 | XL518",DB05239,16222096,C574276,D10405,D0FJ9I
BADD_D00514,Cocaine,"Cocaine | Cocaine Hydrochloride | Hydrochloride, Cocaine | Cocaine HCl | HCl, Cocaine",DB00907,446220,D003042,D00110,D04XPW
BADD_D00515,Cocaine hydrochloride,"Cocaine | Cocaine Hydrochloride | Hydrochloride, Cocaine | Cocaine HCl | HCl, Cocaine",DB00907,656832,D003042,D02182,D04XPW
BADD_D00516,Codeine,"Codeine | Morphinan-6-ol, 7,8-didehydro-4,5-epoxy-3-methoxy-17-methyl-, (5alpha,6alpha)- | N-Methylmorphine | N Methylmorphine | Isocodeine | Codeine Phosphate | Ardinex",DB00318,5284371,D003061,C06174,D03DIG
BADD_D00517,Codeine sulfate,"Codeine | Morphinan-6-ol, 7,8-didehydro-4,5-epoxy-3-methoxy-17-methyl-, (5alpha,6alpha)- | N-Methylmorphine | N Methylmorphine | Isocodeine | Codeine Phosphate | Ardinex",DB00318,5359613,D003061,D03580,D03DIG
BADD_D00518,Colchicine,"Colchicine | Colchicine, (R)-Isomer | Colchicine, (+-)-Isomer",DB01394,6167,D003078,D00570,D09DHY
BADD_D00519,Colesevelam hydrochloride,"Colesevelam Hydrochloride | Hydrochloride, Colesevelam | Colesevelam HCl | HCl, Colesevelam | CholestaGel | Welchol | Colesevelam | GT 31104 | 31104, GT | GT-31104 | GT31-104 | GT31 104 | GT31104",DB00930,60208760,D000069472,D03582,D01YVT
BADD_D00520,Colestilan chloride,cholebine | colestilan | MCI-196,DB11634,65840,C106574,D01934,D08ZFJ
BADD_D00521,Colestipol,"Colestipol | Colestipol Hydrochloride | Hydrochloride, Colestipol | Colestipol HCl | HCl, Colestipol | U-26,597 A | U 26,597 A | U26,597 A | Colestid",DB00375,62816,D003084,C06925,D0GJ8R
BADD_D00522,Colestipol hydrochloride,"Colestipol | Colestipol Hydrochloride | Hydrochloride, Colestipol | Colestipol HCl | HCl, Colestipol | U-26,597 A | U 26,597 A | U26,597 A | Colestid",DB00375,3084661,D003084,D02113,D0GJ8R
BADD_D00523,Colistimethate,"colistinmethanesulfonic acid | colistimethate | colistimethate sodium | colistin sodium methanesulfonate | colistimethate, disodium salt",DB01111,70789202,C004691,D02049,D0Q3BV
BADD_D00524,Colistimethate sodium,"colistinmethanesulfonic acid | colistimethate | colistimethate sodium | colistin sodium methanesulfonate | colistimethate, disodium salt",DB01111,216258,C004691,D02049,D0Q3BV
BADD_D00525,Collagenase clostridium histolyticum,"Microbial Collagenase | Clostridium histolyticum Collagenase | Collagenase, Clostridium histolyticum | Nucleolysin | Collagenase, Microbial | Collalysine | Clostridiopeptidase A | Collagenase Clostridium histolyticum | Clostridium histolyticum, Collagenase | histolyticum, Collagenase Clostridium | Collagenase-Like Peptidase | Collagenase Like Peptidase | Peptidase, Collagenase-Like",DB00048,Not Available,D003012,D09596,D0I4ZQ
BADD_D00526,Conivaptan,"conivaptan | 4''-((4,5-dihydro-2-methylimidazo(4,5-D)(1)benzazepin-6(1H)-yl)carbonyl)-2-biphenylcarboxanilide | (1,1'-biphenyl)-2-carboxamide, N-(4-((4,5-dihydro-2-methylimidazo(4,5-D)(1)benzazepin-6(1H)-yl)carbonyl)phenyl)- | YM 087 | YM087 | conivaptan hydrochloride | (1,1'-biphenyl)-2-carboxamide, N-(4-((4,5-dihydro-2-methylimidazo(4,5-D)(1)benzazepin-6(1H)-yl)carbonyl)phenyl)-, monohydrochloride | Vaprisol",DB00872,151171,C106389,D07748,D0VU2X
BADD_D00527,Conivaptan hydrochloride,"conivaptan | 4''-((4,5-dihydro-2-methylimidazo(4,5-D)(1)benzazepin-6(1H)-yl)carbonyl)-2-biphenylcarboxanilide | (1,1'-biphenyl)-2-carboxamide, N-(4-((4,5-dihydro-2-methylimidazo(4,5-D)(1)benzazepin-6(1H)-yl)carbonyl)phenyl)- | YM 087 | YM087 | conivaptan hydrochloride | (1,1'-biphenyl)-2-carboxamide, N-(4-((4,5-dihydro-2-methylimidazo(4,5-D)(1)benzazepin-6(1H)-yl)carbonyl)phenyl)-, monohydrochloride | Vaprisol",DB00872,216322,C106389,D01236,D0VU2X
BADD_D00528,Conjugated estrogens,"Estrogens, Conjugated (USP) | Estrogenic Hormones, Conjugated | Conjugated Estrogenic Hormones | Estrogens, Conjugated | Estrogenic Substances, Conjugated | Conjugated Estrogenic Substances | Conjugated Estrogens | Conjugated Estrogen | Estrogen, Conjugated | Congest | Conjugated Equine Estrogens | Equine Estrogens, Conjugated | Conjugated Equine Estrogen | Equine Estrogen, Conjugated | Estrogen, Conjugated Equine | Dagynil | Oestrofeminal | Oestro-Feminal | Oestro Feminal | Estro-Feminal | Estro Feminal | Premarin | Climopax | Climarest | Presomen | Progens | Progen | Transannon | Femavit | Carentil | Prelestrin",DB00286,45357473,D004966,D04070,D0T0LU
BADD_D00529,Copper,Copper | Copper-63 | Copper 63,DB09130,23978,D003300,Not Available,D01WMJ
BADD_D00530,Corticorelin ovine triflutate,corticorelin ovine | corticorelin ovine triflutate | Acthrel,DB09067,16132344,C085671,D03592,Not Available
BADD_D00531,Corticotropin,"Adrenocorticotropic Hormone | Hormone, Adrenocorticotropic | ACTH (1-39) | ACTH | Corticotrophin | Corticotropin | Corticotropin (1-39) | Corticotrophin (1-39) | Adrenocorticotrophic Hormone | Hormone, Adrenocorticotrophic | 1-39 ACTH | Adrenocorticotropin",DB01285,16132265,D000324,D00146,D0R4HQ
BADD_D00532,Cortisone,"Cortisone | Cortisone Acetate | 17-Hydroxy-3,11,20-trioxopregn-4-en-21-yl acetate | Cortone Acetate | Adreson",DB14681,222786,D003348,D07749,D0IX6I
BADD_D00533,Cortisone acetate,"Cortisone | Cortisone Acetate | 17-Hydroxy-3,11,20-trioxopregn-4-en-21-yl acetate | Cortone Acetate | Adreson",DB01380,5745,D003348,D00973,D0X4RS
BADD_D00534,Cosyntropin,"Cosyntropin | ACTH 1-24 | Corticotropin (1-24)-Peptide | Corticotropin (1-24)-Tetracosapeptide | ACTH (1-24) | Tetracosactide | Tetracosactrin | Tetracosapeptide | 1-24-Corticotropin | 1-24-ACTH | Synthetic ACTH | ACTH, Synthetic | Cortrosyn | Cortosyn",DB01284,16133802,D003366,D00284,D0W6LI
BADD_D00535,Crizotinib,Crizotinib | PF-02341066 | PF-2341066 | PF 2341066 | PF2341066 | PF 02341066 | PF02341066 | Xalkori,DB08865,11626560,D000077547,D09731,D03ZBT
BADD_D00536,Crofelemer,crofelemer | Fulyzaq,DB04941,36511,C546704,D03605,D09VXM
BADD_D00537,Cromoglycate,"Cromolyn Sodium | Sodium Cromoglycate | Cromoglycate, Sodium | Disodium Cromoglycate | Cromoglycate, Disodium | Aarane | Bicromat Spray | Cromoglycate | Opticrom | FPL-670 | FPL 670 | FPL670 | Intal | Lomudal | Nalcrom | Nasalcrom | Vicrom | Cromolyn | Cromoglicic Acid | Acid, Cromoglicic | Cromoglycic Acid | Acid, Cromoglycic",DB01003,2882,D004205,D07753,D0G7IY
BADD_D00538,Cromolyn,"Cromolyn Sodium | Sodium Cromoglycate | Cromoglycate, Sodium | Disodium Cromoglycate | Cromoglycate, Disodium | Aarane | Bicromat Spray | Cromoglycate | Opticrom | FPL-670 | FPL 670 | FPL670 | Intal | Lomudal | Nalcrom | Nasalcrom | Vicrom | Cromolyn | Cromoglicic Acid | Acid, Cromoglicic | Cromoglycic Acid | Acid, Cromoglycic",DB01003,2882,D004205,D07753,D0G7IY
BADD_D00539,Cromolyn sodium,"Cromolyn Sodium | Sodium Cromoglycate | Cromoglycate, Sodium | Disodium Cromoglycate | Cromoglycate, Disodium | Aarane | Bicromat Spray | Cromoglycate | Opticrom | FPL-670 | FPL 670 | FPL670 | Intal | Lomudal | Nalcrom | Nasalcrom | Vicrom | Cromolyn | Cromoglicic Acid | Acid, Cromoglicic | Cromoglycic Acid | Acid, Cromoglycic",DB01003,27503,D004205,D00526,D0G7IY
BADD_D00540,Crotamiton,crotamiton | Eurax,DB00265,688020,C005553,D01381,D0T3NY
BADD_D00541,Cupric chloride,"cupric chloride | cupric chloride, dihydrate 2H-labeled cpd | cupric chloride eriochalcite (CuCl2.2H2O) | cupric chloride, 64Cu-labeled cpd | cupric chloride anhydrous | copper(II) chloride | CuCl2 | cupric chloride dihydrate",DB09131,24014,C029892,D03612,D0M5YS
BADD_D00542,Cyanocobalamin,"Vitamin B 12 | B 12, Vitamin | Vitamin B12 | B12, Vitamin | Cyanocobalamin | Cobalamins | Cobalamin | Eritron",DB00115,5311498,D014805,D00166,D0FR6I
BADD_D00543,Cyclizine,"Cyclizine | Marezine | Cyclizine Hydrochloride | Hydrochloride, Cyclizine | Cyclizine HCl | HCl, Cyclizine",DB01176,6726,D003501,D03621,D08HRJ
BADD_D00544,Cyclo-upup,bis(3'-5')cyclic diuridine monophosphate | cyclic bis((3'-5')uridylic acid) | cyclo-UpUp | cyclo(uridylyl-(3'-5')uridine monophosphate),Not Available,194491,C036198,Not Available,Not Available
BADD_D00545,Cyclobenzaprine,cyclobenzaprine | Flexeril | Lisseril | cyclobenzaprine hydrochloride,DB00924,2895,C004704,D07758,D01KHH
BADD_D00546,Cyclobenzaprine hydrochloride,cyclobenzaprine | Flexeril | Lisseril | cyclobenzaprine hydrochloride,DB00924,22576,C004704,D00772,D01KHH
BADD_D00547,Cyclopentolate,Cyclopentolate | Cyclogyl,DB00979,2905,D003519,D07759,D0B1EV
BADD_D00548,Cyclopentolate hydrochloride,Cyclopentolate | Cyclogyl,DB00979,22162,D003519,D01002,D0B1EV
BADD_D00549,Cyclophosphamide,"Cyclophosphamide | Sendoxan | B-518 | B 518 | B518 | Cyclophosphamide Anhydrous | Cyclophosphamide, (R)-Isomer | Cyclophosphamide, (S)-Isomer | Cytophosphane | Cyclophosphamide Monohydrate | Cytophosphan | Cytoxan | Endoxan | Neosar | NSC-26271 | NSC 26271 | NSC26271 | Procytox | (+,-)-2-(bis(2-Chloroethyl)amino)tetrahydro-2H-1,3,2-oxazaphosphorine 2-Oxide Monohydrate | Cyclophosphane",DB00531,2907,D003520,D00287,D0CT9C
BADD_D00550,Cycloserine,Cycloserine | R-4-Amino-3-isoxazolidinone | Seromycin,DB00260,6234,D003523,D00877,D02WFK
BADD_D00551,Cyclosporine,Cyclosporine | Cyclosporine A | Cyclosporin A | Ciclosporin | Cyclosporin | Neoral | Sandimmun Neoral | CyA-NOF | CyA NOF | Sandimmune | Sandimmun | CsA-Neoral | CsA Neoral | CsANeoral | OL 27-400 | OL 27 400 | OL 27400,DB00091,5280754,D016572,D00184,D0O3YF
BADD_D00552,Cyproheptadine,Cyproheptadine | Dihexazin | Peritol | Viternum | Antergan | Periactin,DB00434,2913,D003533,D07765,D00TLN
BADD_D00553,Cyproheptadine hydrochloride,Cyproheptadine | Dihexazin | Peritol | Viternum | Antergan | Periactin,DB00434,13770,D003533,D02234,D00TLN
BADD_D00554,Cyproterone,"Cyproterone | Cyproterone, 1alpha,2 alpha,9 beta,10 alpha-Isomer",DB04839,5284537,D003534,D07766,D06AEO
BADD_D00555,Cyproterone acetate,"Cyproterone Acetate | Cyproterone Acetate, (17 alpha)-Isomer | Cyproterone Acetate, (1 alpha,2 alpha,9 beta,10 alpha)-Isomer | Androcur | Cyproterone Acetate, (1 alpha,2 alpha)-Isomer",DB04839,9880,D017373,D01368,Not Available
BADD_D00556,Cysteamine,"Cysteamine | beta-Mercaptoethylamine | beta Mercaptoethylamine | Mercaptoethylamine | Mercamine | Mercaptamine | 2-Aminoethanethiol | 2 Aminoethanethiol | Cysteinamine | Cystagon | Cysteamine Bitartrate | Bitartrate, Cysteamine | Cysteamine Tartrate (1:1) | Cysteamine Tartrate | Tartrate, Cysteamine | Cysteamine Dihydrochloride | Dihydrochloride, Cysteamine | Cysteamine Hydrochloride | Hydrochloride, Cysteamine | Cysteamine Maleate (1:1) | Cysteamine Tosylate | Tosylate, Cysteamine | Cysteamine, 35S-Labeled | 35S-Labeled Cysteamine | Cysteamine, 35S Labeled | Becaptan | Cysteamine Hydrobromide | Hydrobromide, Cysteamine",DB00847,6058,D003543,D03634,D0V0LB
BADD_D00557,Cysteamine bitartrate,"Cysteamine | beta-Mercaptoethylamine | beta Mercaptoethylamine | Mercaptoethylamine | Mercamine | Mercaptamine | 2-Aminoethanethiol | 2 Aminoethanethiol | Cysteinamine | Cystagon | Cysteamine Bitartrate | Bitartrate, Cysteamine | Cysteamine Tartrate (1:1) | Cysteamine Tartrate | Tartrate, Cysteamine | Cysteamine Dihydrochloride | Dihydrochloride, Cysteamine | Cysteamine Hydrochloride | Hydrochloride, Cysteamine | Cysteamine Maleate (1:1) | Cysteamine Tosylate | Tosylate, Cysteamine | Cysteamine, 35S-Labeled | 35S-Labeled Cysteamine | Cysteamine, 35S Labeled | Becaptan | Cysteamine Hydrobromide | Hydrobromide, Cysteamine",DB00847,23111531,D003543,D10468,D0VD6Q
BADD_D00558,Cysteamine hydrochloride,"Cysteamine | beta-Mercaptoethylamine | beta Mercaptoethylamine | Mercaptoethylamine | Mercamine | Mercaptamine | 2-Aminoethanethiol | 2 Aminoethanethiol | Cysteinamine | Cystagon | Cysteamine Bitartrate | Bitartrate, Cysteamine | Cysteamine Tartrate (1:1) | Cysteamine Tartrate | Tartrate, Cysteamine | Cysteamine Dihydrochloride | Dihydrochloride, Cysteamine | Cysteamine Hydrochloride | Hydrochloride, Cysteamine | Cysteamine Maleate (1:1) | Cysteamine Tosylate | Tosylate, Cysteamine | Cysteamine, 35S-Labeled | 35S-Labeled Cysteamine | Cysteamine, 35S Labeled | Becaptan | Cysteamine Hydrobromide | Hydrobromide, Cysteamine",DB00847,9082,D003543,D03635,D0V0LB
BADD_D00559,Cysteine hydrochloride,Cysteine | L-Cysteine | L Cysteine | Half-Cystine | Half Cystine | Zinc Cysteinate | Cysteine Hydrochloride,DB00151,25150,D003545,D02326,D0P0QK
BADD_D00560,Cytarabine,"Cytarabine | Arabinosylcytosine | Cytosine Arabinoside | Arabinoside, Cytosine | Arabinofuranosylcytosine | Aracytidine | beta-Ara C | beta Ara C | Cytarabine Hydrochloride | Cytosar | Cytosar-U | Cytosar U | Ara-C | Ara C | Aracytine | Cytonal",DB00987,6253,D003561,D00168,D07XSN
BADD_D00561,Cytarabine hydrochloride,"Cytarabine | Arabinosylcytosine | Cytosine Arabinoside | Arabinoside, Cytosine | Arabinofuranosylcytosine | Aracytidine | beta-Ara C | beta Ara C | Cytarabine Hydrochloride | Cytosar | Cytosar-U | Cytosar U | Ara-C | Ara C | Aracytine | Cytonal",DB00987,6252,D003561,D03637,D07XSN
BADD_D00562,Cytomegalovirus immune globulin (human),cytomegalovirus-specific hyperimmune globulin | cytomegalovirus immunoglobulin intravenous (human) | human cytomegalovirus immune globulin | CMV immunoglobulin | CMV-immune globulin | CMVIG | Cytogam | cytotect,DB13886,Not Available,C045781,Not Available,Not Available
BADD_D00563,Dabigatran,"Dabigatran | N-((2-(((4-(aminoiminomethyl)phenyl)amino)methyl)-1-methyl-1H-benzimidazol-5-yl)carbonyl)-N-2-pyridinyl-beta-alanine | BIBR 1048 | Pradaxa | Dabigatran Etexilate | Etexilate, Dabigatran | Dabigatran Etexilate Mesylate | Etexilate Mesylate, Dabigatran | Mesylate, Dabigatran Etexilate",DB14726,216210,D000069604,D07144,D0M7JT
